key,export,default,kind,default_source
MAV1_RAW_SENS,1,0,config,copter-#if
MAV1_RC_CHAN,1,0,config,copter-#if
MIS_TOTAL,1,0,config,code(4.7.0 src)
MOT_BAT_VOLT_MAX,24.6,0,config,code(4.7.0 src)
MOT_BAT_VOLT_MIN,16.8,0,config,code(4.7.0 src)
MOT_PWM_TYPE,6,0,config,code(4.7.0 src)
MOT_SPIN_ARM,0.04,0.1,config,code(4.7.0 src)
MOT_SPIN_MIN,0.05,0.15,config,code(4.7.0 src)
MOT_THST_HOVER,0.2357491,0.35,calibration/identity,code(4.7.0 src)
NTF_BUZZ_PIN,32,-1,config,code(4.7.0 src)
NTF_DISPLAY_TYPE,2,0,config,code(4.7.0 src)
NTF_LED_TYPES,33025,455,config,board
OSD1_ENABLE,1,0,config,code(4.7.0 src)
PILOT_SPD_DN,2.5,0,config,code(4.7.0 src)
PILOT_SPD_UP,10,2.5,config,code(4.7.0 src)
RC10_OPTION,90,0,config,code(4.7.0 src)
RC1_DZ,20,0,config,code(4.7.0 src)
RC1_MAX,2011,1900,config,code(4.7.0 src)
RC1_MIN,990,1100,config,code(4.7.0 src)
RC2_DZ,20,0,config,code(4.7.0 src)
RC2_MAX,2011,1900,config,code(4.7.0 src)
RC2_MIN,988,1100,config,code(4.7.0 src)
RC3_DZ,30,0,config,code(4.7.0 src)
RC3_MAX,2011,1900,config,code(4.7.0 src)
RC3_MIN,988,1100,config,code(4.7.0 src)
RC3_TRIM,988,1500,config,code(4.7.0 src)
RC4_DZ,20,0,config,code(4.7.0 src)
RC4_MAX,2011,1900,config,code(4.7.0 src)
RC4_MIN,988,1100,config,code(4.7.0 src)
RC5_MAX,2011,1900,config,code(4.7.0 src)
RC5_MIN,988,1100,config,code(4.7.0 src)
RC5_OPTION,153,0,config,code(4.7.0 src)
RC5_TRIM,988,1500,config,code(4.7.0 src)
RC6_MAX,2011,1900,config,code(4.7.0 src)
RC6_MIN,988,1100,config,code(4.7.0 src)
RC6_TRIM,988,1500,config,code(4.7.0 src)
RC7_MAX,2011,1900,config,code(4.7.0 src)
RC7_MIN,988,1100,config,code(4.7.0 src)
RC7_OPTION,18,0,config,code(4.7.0 src)
RC7_TRIM,2011,1500,config,code(4.7.0 src)
RC8_MAX,2011,1900,config,code(4.7.0 src)
RC8_MIN,988,1100,config,code(4.7.0 src)
RC8_OPTION,30,0,config,code(4.7.0 src)
RC8_TRIM,988,1500,config,code(4.7.0 src)
RC9_MAX,2011,1900,config,code(4.7.0 src)
RC9_MIN,988,1100,config,code(4.7.0 src)
RC9_OPTION,36,0,config,code(4.7.0 src)
RC9_TRIM,988,1500,config,code(4.7.0 src)
RELAY2_FUNCTION,1,0,config,code(4.7.0 src)
